id|latitud|longitud|autor|barrio|verso
776|40.4055392|-3.7355863|﻿Antonio Gómez|﻿LOS CÁRMENES|Ningún final es simulacro.
495|40.403747|-3.7367691|﻿Alfredo Miralles|﻿LATINA|Viento.&lt;br&gt;Debajo del árbol, llueve otra vez.
290|40.4050633|-3.7451698|﻿Laura Llera Arnanz|﻿LATINA|Antes de estas canas&lt;br&gt;fuimos todo campo
56|40.4043178|-3.7476388|﻿Santi Balmes|﻿LUCERO|A brillar que&lt;br&gt;son dos sílabas
650|40.4053022|-3.7245691|﻿Laura Pugno|﻿PUERTA DEL ÁNGEL|Quello che non hai visto&lt;br&gt;acceca ancora
496|40.4017462|-3.7362313|﻿Sixto Arias mariño|﻿LATINA|A camino largo, pasos cortos
777|40.4012438|-3.7410325|﻿SuicidEmocional|﻿LATINA|Todo es posible&lt;br&gt;si persigues lo imposible.
933|40.3991001|-3.7445689|﻿Lourdes de Abajo|﻿LAGUNA|El lápiz es la soga que anuda este dolor.&lt;br&gt;Y lo sostiene
497|40.4003389|-3.7482973|﻿Luis Luna|﻿LATINA|La respuesta que vibra&lt;br&gt;en el hueco vacío de tu mano
181|40.4056337|-3.7531508|﻿Miguel Ríos|﻿LUCERO|Este es el tiempo del cambio,&lt;br&gt;el futuro se puede tocar
651|40.4004205|-3.7551529|﻿Ahmad Yamani|﻿LUCERO|El amor era un balde de agua fría&lt;br&gt;donde nadan la cabeza y los pies.
498|40.4028084|-3.7244538|﻿Bettie Pathway|﻿CARABANCHEL|Si me convierto en agua,&lt;br&gt;¿lloverás conmigo?
64|40.4003419|-3.7252196|﻿Gema García Mejías|﻿CARABANCHEL|Soy de quién pienso
1153|40.3993085|-3.7331508|﻿Inma Luna|﻿SAN ISIDRO|La incertidumbre vive en el estómago,&lt;br&gt;puedes alimentarla con el miedo o la osadía
876|40.3984709|-3.7352873|﻿Muhsin Al-Ramli|﻿SAN ISIDRO|Cambié el té por el café y el vino&lt;br&gt;Y el triste rabel por el triste flamenco
131|40.3962689|-3.7376609|﻿KH|﻿LATINA|Sin prisa pero con prosa
778|40.3978632|-3.7188479|﻿Gloria Cano|﻿CARABANCHEL|Un estrecho mar separa&lt;br&gt;dos realidades con la misma mirada
916|40.3975263|-3.7164836|﻿Juanito Makandé|﻿CARABANCHEL|En las conciencias,&lt;br&gt;una delgada línea divide el mundo
499|40.3951751|-3.7207603|﻿Alfrez|﻿CARABANCHEL|Todos los semáforos en verte.
652|40.3937748|-3.722886|﻿Ricardo de la Hoz|﻿CARABANCHEL|Desnuda en el asfalto&lt;br&gt;sonríe sus temores
653|40.3928662|-3.7249473|﻿Melanie Asor|﻿CARABANCHEL|אין דבר העומד בפני הרצון
500|40.3916268|-3.72679|﻿María Novo|﻿CARABANCHEL|Y ciega la memoria somos nadie
291|40.3895905|-3.7302077|﻿Mónica Carrillo|﻿CARABANCHEL|Qué sabrá mi tiempo perdido&lt;br&gt;si no fue capaz de encontrarte
97|40.3906042|-3.7249406|﻿Cecilia Quílez|﻿OPAÑEL|La mansedumbre es un ciervo&lt;br&gt;herido de estrellas
501|40.3872937|-3.7254622|﻿Sara Caviedes|﻿OPAÑEL|Yo sé que el pez ordena el agua
502|40.3867809|-3.7213799|﻿Javi Garcia|﻿CARABANCHEL|Si me inspiras, vuelvo.&lt;br&gt;Si me dañas, vuelo.
182|40.395933|-3.7160477|﻿Swan Fyahbwoy|﻿CARABANCHEL|Ardo si rozas mi piel&lt;br&gt;y si te vas me quemo
503|40.3940842|-3.7154764|﻿Ana Isabel Muriel Cortés|﻿CARABANCHEL|Una flor deshojada en el barro&lt;br&gt;sigue siendo una flor.
779|40.3928514|-3.7152229|﻿Mercedes Cebrián Coello|﻿CARABANCHEL|La luz de hoy nada tiene que ver&lt;br&gt;con la de aquellos días
654|40.389306|-3.7161872|﻿Javier Krahe|﻿COMILLAS|A veces pienso en ti incluso vestida
292|40.387074|-3.7169971|﻿David Bermejo|﻿CARABANCHEL|Versos de lluvia rebosando&lt;br&gt;en las huellas de las palabras.
780|40.3966152|-3.7135372|﻿LEON BENAVENTE|﻿CARABANCHEL|Aún podemos resistir,&lt;br&gt;aún no ha salido el sol
844|40.3956429|-3.7110615|﻿Andrés Pascual|﻿COMILLAS|Voy a buscarte, en la espiga&lt;br&gt;o en el sol que la ilumina
504|40.393069|-3.7085242|﻿María Gonzalez Llovet|﻿USERA|La pena que se ahoga en un disimular
505|40.3927809|-3.705791|﻿Maria Sanz|﻿USERA|Esto también pasará
1123|40.3912886|-3.7028445|﻿Bowl Tang Clan|﻿USERA|Un animal en libertad es mucho más inteligente.
506|40.3903274|-3.7022101|﻿Johnytoss|﻿USERA|Cambio veneno por&lt;br&gt;billetes manchados
781|40.3906808|-3.7121934|﻿Jesús Patiño Rubio|﻿CARABANCHEL|Si me invitas voy; si me necesitas vuelo
293|40.3901344|-3.706955|﻿Mr KILOMBO|﻿USERA|En la brújula un imán&lt;br&gt;para engañar a mi destino
1102|40.3954774|-3.7476454|﻿Ariadna G. García|﻿ALUCHE|Disfruto el sueño que he tenido el valor de imaginar
351|40.3958176|-3.7434908|﻿Daniel Martínez Bauzá|﻿LATINA|El silencio acordona la zona.
782|40.3929831|-3.7407187|﻿Elvira Lindo|﻿CARABANCHEL|Cada vez que digas ‘el mundo mundial’,&lt;br&gt;piensa en mí. Fdo. Manolito Gafotas
783|40.3915542|-3.7384844|﻿Beatriz Rodríguez|﻿CARABANCHEL|Se te ha perdido la sonrisa&lt;br&gt;en tu máscara de intocable
784|40.391114|-3.7372103|﻿Estefanía Toro|﻿CARABANCHEL|En un acrobático vuelo de reproches,&lt;br&gt;aterrizan rotas las quimeras
